Rank, City, State, 2018 estimate, 2010 Census,Change[%], 2016 land area[sq mi], 2016 land area[km*km], 2016 population density[/sq mi], 2016 population density[km*km], coordinates[lat° ' "N long° ' "W], coordinates[lat°N long°W], coordinates[lat long], Zip Codes
1, New York City, New York, 8398748, 8175133, +2.74%, 301.5, 780.9, 28317, 10933, 40°39′49″N 73°56′19″W, 40.6635°N 73.9387°W, 40.6635 -73.9387, 100xx–104xx  11004–05  111xx–114xx  116xx
2, Los Angeles, California, 3990456, 3792621, +5.22%, 468.7, 1213.9, 8484, 3276, 34°01′10″N 118°24′39″W, 34.0194°N 118.4108°W, 34.0194 -118.4108, List  90001–90084  90086–90089  90091  90093–90097  90099  90101–90103  90174  90185  90189  90291–90293  91040–91043  91303–91308  91311  91316  91324–91328  91330  91331  91335  91340  91342–91349  91352–91353  91356–91357  91364–91367  91401–91499  91504–91505  91601–91609
3, Chicago, Illinois, 2705994, 2695598, +0.39%, 227.3, 588.7, 11900, 4600, 41°50′15″N 87°40′54″W, 41.8376°N 87.6818°W, 41.8376 -87.6818, 606xx  607xx  608xx
4, Houston, Texas, 2325502, 2100263, +10.72%, 637.5, 1651.1, 3613, 1395, 29°47′12″N 95°23′27″W, 29.7866°N 95.3909°W, 29.7866 -95.3909, 770xx  772xx (P.O. Boxes)
5, Phoenix, Arizona, 1660272, 1445632, +14.85%, 517.6, 1340.6, 3120, 1200, 33°34′20″N 112°05′24″W, 33.5722°N 112.0901°W, 33.5722 -112.0901, 85001–85099
6, Philadelphia, Pennsylvania, 1584138, 1526006, +3.81%, 134.2, 347.6, 11683, 4511, 40°00′34″N 75°08′00″W, 40.0094°N 75.1333°W, 40.0094 -75.1333, 19092-19093  19099  191xx
7, San Antonio, Texas, 1532233, 1327407, +15.43%, 461.0, 1194.0, 3238, 1250, 29°28′21″N 98°31′30″W, 29.4724°N 98.5251°W, 29.4724 -98.5251, 78201-66  78268-70  78275  78278-80  78283-89  78291-99
8, San Diego, California, 1425976, 1307402, +9.07%, 325.2, 842.3, 4325, 1670, 32°48′55″N 117°08′06″W, 32.8153°N 117.1350°W, 32.8153 -117.1350, 92101–92124  92126–92132  92134–92140  92142  92143  92145  92147  92149–92155  92158–92161  92163  92165–92179  92182  92186  92187  92190–92199
9, Dallas, Texas, 1345047, 1197816, +12.29%, 340.9, 882.9, 3866, 1493, 32°47′36″N 96°45′59″W, 32.7933°N 96.7665°W, 32.7933 -96.7665, ZIP Codes  75201-75212  75214-75238  75240-75254  75258  75260-75267  75270  75275  75277  75283-75287  75301  75303  75310  75312-75313  75315  75320  75323  75326  75334  75336  75339-75340  75342-75344  75354-75360  75367-75368  75370-75374  75376  75378-75382  75387  75389-75394
10, San Jose, California, 1030119, 945942, +8.90%, 177.5, 459.7, 5777, 2231, 37°17′48″N 121°49′08″W, 37.2967°N 121.8189°W, 37.2967 -121.8189, List  95002  95008  95101  95103  95106  95108–95113  95115–95141  95148  95150–95161  95164  95170  95172  95173  95190–9519   95196
11, Austin, Texas, 964254, 790390, +22.00%, 312.7, 809.9, 3031, 1170, 30°18′14″N 97°45′16″W, 30.3039°N 97.7544°W, 30.3039 -97.7544, 78701–78705  78708–78739  78741–78742  78744–78769
12, Jacksonville, Florida, 903889, 821784, +9.99%, 747.4, 1935.8, 1178, 455, 30°20′13″N 81°39′42″W, 30.3369°N 81.6616°W, 30.3369 -81.6616, 32099  32201–32212  32214–32241  32244–32247  32250  32254–32260  32266  32267  32277  32290
13, Fort Worth, Texas, 895008, 741206, +20.75%, 342.9, 888.1, 2491, 962, 32°46′53″N 97°20′48″W, 32.7815°N 97.3467°W, 32.7815 -97.3467, 76120  76008  76028  76036  76101-76124  76126-76127  76130-76137  76140  76147-76148  76150  76155  76161-76164  76166  76177  76179  76180-76182  76185  76191-76193  76195-76199  76244  76247  76262  76129 (exclusive to TCU)  76107
14, Columbus, Ohio, 892533, 787033, +13.40%, 218.5, 565.9, 3936, 1520, 39°59′07″N 82°59′05″W, 39.9852°N 82.9848°W, 39.9852 -82.9848, Zip codes  43035  43085  43201-43207  43209-43224  43226-43232  43234-43236  43240  43251  43260  43266  43268  43270-43272  43279  43287  43291
15, San Francisco, California, 883305, 805235, +9.70%, 46.9, 121.5, 18569, 7170, 37°43′38″N 123°01′56″W, 37.7272°N 123.0322°W, 37.7272 -123.0322, List  94102–94105  94107–94112  94114–94134  94137  94139–94147  94151  94158–94161  94163–94164  94172  94177  94188
16, Charlotte, North Carolina, 872498, 731424, +19.29%, 305.4, 791.0, 2757, 1064, 35°12′28″N 80°49′52″W, 35.2078°N 80.8310°W, 35.2078 -80.8310, 28201-28237  28240-28247  28250  28253-28256  28258   28260-28262  28265-28266  28269-28275  28277-28278  28280-28290  28296-28297  28299
17, Indianapolis, Indiana, 867125, 820445, +5.69%, 361.5, 936.3, 2366, 914, 39°46′36″N 86°08′45″W, 39.7767°N 86.1459°W, 39.7767 -86.1459, 61 total ZIP codes:  46201–46209  46211  46214  46216–46231  46234–46237  46239–46242  46244  46247  46249–46251  46253–46256  46259–46260  46266  46268  46274–46275  46277–46278  46280  46282–46283  46285  46290–46291  46295–46296  46298
18, Seattle, Washington, 744955, 608660, +22.39%, 83.8, 217.0, 8405, 3245, 47°37′14″N 122°21′03″W, 47.6205°N 122.3509°W, 47.6205 -122.3509, .mw-parser-output .nobold{font-weight:normal}ZIP codes  98101–98119  98121–98122  98124–98127  98129  98131  98133–98134  98136  98138–98139  98141  98144–98146  98148  98154–98155  98158  98160–98161  98164–98166  98168  98170  98174–98175  98177–98178  98181  98185  98188  98190–98191  98194–98195  98198–98199
19, Denver, Colorado, 716492, 600158, +19.38%, 153.3, 397.0, 4521, 1746, 39°45′43″N 104°52′52″W, 39.7619°N 104.8811°W, 39.7619 -104.8811, 80201–80212  80214–80239  80241  80243–80244  80246–80252  80256–80266  80271  80273–80274  80279–80281  80290–80291  80293–80295  80299  80012  80014  80022  80033  80123  80127
20, Washington D.C., District of Columbia, 702455, 601723, +16.74%, 61.1, 158.2, 11148, 4304, 38°54′15″N 77°01′02″W, 38.9041°N 77.0172°W, 38.9041 -77.0172, 20001–20098  20201–20599
21, Boston, Massachusetts, 694583, 617594, +12.47%, 48.3, 125.1, 13938, 5381, 42°19′55″N 71°01′13″W, 42.3320°N 71.0202°W, 42.3320 -71.0202, 53 ZIP codes  02108–02137  02163  02196  02199  02201  02203  02204  02205  02206  02210  02211  02212  02215  02217  02222  02126  02228  02241  02266  02283  02284  02293  02295  02297  02298  02467 (also includes parts of Newton and Brookline)
22, El Paso, Texas, 682669, 649121, +5.17%, 256.8, 665.1, 2660, 1030, 31°50′54″N 106°25′37″W, 31.8484°N 106.4270°W, 31.8484 -106.4270, 79900-79999 88500-88599 (PO Boxes)
23, Detroit, Michigan, 672662, 713777, −5.76%, 138.8, 359.5, 4847, 1871, 42°22′59″N 83°06′08″W, 42.3830°N 83.1022°W, 42.3830 -83.1022, 48127  48201  48202  48204–48206  48208–48210  48212–48217  48219  48221–48228  48231–48235  48236  48238–48240  48243  48244  48255  48260  48264  48266–48269  48272  48275  48277–48279  48288
24, Nashville, Tennessee, 669053, 601222, +11.28%, 475.9, 1232.6, 1388, 536, 36°10′18″N 86°47′06″W, 36.1718°N 86.7850°W, 36.1718 -86.7850, 37201-37250
25, Portland, Oregon, 653115, 583776, +11.88%, 133.5, 345.8, 4793, 1851, 45°32′13″N 122°39′00″W, 45.5370°N 122.6500°W, 45.5370 -122.6500, 97086-97299
26, Memphis, Tennessee, 650618, 646889, +0.58%, 317.4, 822.1, 2056, 794, 35°06′10″N 89°58′39″W, 35.1028°N 89.9774°W, 35.1028 -89.9774, Zip codes  37501  37544  38002  38016  38018  38028  38088  38101  38103–38109  38111–38120  38122  38124–38128  38130–38139  38141  38145  38147–38148  38150–38152  38157  38159  38161  38163  38166–38168  38173–38175  38177  38181–38182  38184  38186–38188  38190  38193–38194  38197
27, Oklahoma City, Oklahoma, 649021, 579999, +11.90%, 606.3, 1570.3, 1053, 407, 35°28′02″N 97°30′49″W, 35.4671°N 97.5137°W, 35.4671 -97.5137, Zip codes  73101-73132  73134-73137  73139-73160  73162-73165  73167  73169-73170  73172-73173  73178-73179  73184-73185  73189-73190  73194-73196  73198  74013
28, Las Vegas, Nevada, 644644, 583756, +10.43%, 134.4, 348.1, 4709, 1818, 36°13′45″N 115°15′36″W, 36.2292°N 115.2601°W, 36.2292 -115.2601, Las Vegas error: parse didn't find zip codes
29, Louisville, Kentucky, 620118, 597337, +3.81%, 263.5, 682.5, 2339, 903, 38°09′55″N 85°38′51″W, 38.1654°N 85.6474°W, 38.1654 -85.6474, major: 402xxminor: 400xx  401xx
30, Baltimore, Maryland, 602495, 620961, −2.97%, 80.9, 209.5, 7598, 2934, 39°18′00″N 76°36′38″W, 39.3000°N 76.6105°W, 39.3000 -76.6105, Zip codes  21201–21231  21233–21237  21239–21241  21244  21250–21252  21263–21265  21268  21270  21273–21275  21278–21290  21297–21298
31, Milwaukee, Wisconsin, 592025, 594833, −0.47%, 96.2, 249.2, 6186, 2388, 43°03′48″N 87°58′00″W, 43.0633°N 87.9667°W, 43.0633 -87.9667, 53172  53201–53216  53218–53228  53233–53234  53237  53259  53263  53267–53268  53274  53278  53288  53290  53293  53295
32, Albuquerque, New Mexico, 560218, 545852, +2.63%, 188.2, 487.4, 2972, 1147, 35°06′20″N 106°38′51″W, 35.1056°N 106.6474°W, 35.1056 -106.6474, 87101–87125  87131 87151  87153  87154 87158  87174  87176 87181  87184  87185 87187  87190–87199
33, Tucson, Arizona, 545975, 520116, +4.97%, 230.8, 597.8, 2299, 888, 32°09′11″N 110°52′14″W, 32.1531°N 110.8706°W, 32.1531 -110.8706, 85701-85775
34, Fresno, California, 530093, 494665, +7.16%, 114.4, 296.3, 4563, 1762, 36°47′01″N 119°47′36″W, 36.7836°N 119.7934°W, 36.7836 -119.7934, 93650  93701–93712  93714–93718  93720–93730  93737  93740  93741  93744  93745  93747  93750  93755  93760  93761  93764  93765  93771–79  93786  93790–94  93844  93888
35, Mesa, Arizona, 508958, 439041, +15.92%, 137.9, 357.2, 3514, 1357, 33°24′07″N 111°43′03″W, 33.4019°N 111.7174°W, 33.4019 -111.7174, 85200-85299
36, Sacramento, California, 508529, 466488, +9.01%, 97.9, 253.6, 5059, 1953, 38°34′00″N 121°28′07″W, 38.5666°N 121.4686°W, 38.5666 -121.4686, 942xx  958xx
37, Atlanta, Georgia, 498044, 420003, +18.58%, 133.5, 345.8, 3539, 1366, 33°45′46″N 84°25′22″W, 33.7629°N 84.4227°W, 33.7629 -84.4227, 30060  30301–30322  30324–30334  30336–30350  30340  30353  30363
38, Kansas City, Missouri, 491918, 459787, +6.99%, 315.0, 815.8, 1528, 590, 39°07′30″N 94°33′04″W, 39.1251°N 94.5510°W, 39.1251 -94.5510, 64101-64102  64105-64106  64108-64114  64116-64121  64123-64134  64136-64139  64141  64144-64149  64151-64158  64161  64163-64168  64170-64172  64179-64180  64183-64184  64187-64188  64190-64193  64195-64199  64999
39, Colorado Springs, Colorado, 472688, 416427, +13.51%, 195.6, 506.6, 2378, 918, 38°52′02″N 104°45′39″W, 38.8673°N 104.7607°W, 38.8673 -104.7607, 80901–80951  80960  80962  80970  80977  80995  80997
40, Miami, Florida, 470914, 399457, +17.89%, 36.0, 93.2, 12599, 4865, 25°46′31″N 80°12′31″W, 25.7752°N 80.2086°W, 25.7752 -80.2086, 33010–33299
41, Raleigh, North Carolina, 469298, 403892, +16.19%, 145.1, 375.8, 3163, 1221, 35°49′50″N 78°38′30″W, 35.8306°N 78.6418°W, 35.8306 -78.6418, 27601  27603  27604  27605  27606  27607  27608  27609  27610  27612  27613  27614  27615  27616  27617
42, Omaha, Nebraska, 468262, 408958, +14.50%, 133.2, 345.0, 3356, 1296, 41°15′52″N 96°02′42″W, 41.2644°N 96.0451°W, 41.2644 -96.0451, 68022  68101–68164
43, Long Beach, California, 467354, 462257, +1.10%, 50.3, 130.3, 9347, 3609, 33°48′33″N 118°09′19″W, 33.8092°N 118.1553°W, 33.8092 -118.1553, 90801–90810  90813–90815  90822  90831–90835  90840  90842  90844  90846–90848  90853  90895  90899
44, Virginia Beach, Virginia, 450189, 437994, +2.78%, 244.7, 633.8, 1850, 710, 36°46′48″N 76°01′31″W, 36.7800°N 76.0252°W, 36.7800 -76.0252, Virginia Beach error: parse didn't find zip codes
45, Oakland, California, 429082, 390724, +9.82%, 55.9, 144.8, 7514, 2901, 37°46′11″N 122°13′33″W, 37.7698°N 122.2257°W, 37.7698 -122.2257, 94601–94615  94617–94624  94649  94659–94662  94666
46, Minneapolis, Minnesota, 425403, 382578, +11.19%, 54.0, 139.9, 7660, 2960, 44°57′48″N 93°16′06″W, 44.9633°N 93.2683°W, 44.9633 -93.2683, 55401–55488 (range includes some ZIP Codes for Minneapolis suburbs)
47, Tulsa, Oklahoma, 400669, 391906, +2.24%, 196.8, 509.7, 2048, 791, 36°07′40″N 95°54′08″W, 36.1279°N 95.9023°W, 36.1279 -95.9023, ZIP codes  74101–74108  74110  74112  74114–74117  74119–74121  74126  74127–74137  74141  74145–74150  74152–74153  74155–74159  74169–74172  74182  74186–74187  74192–74193
48, Arlington, Texas, 398112, 365438, +8.94%, 95.8, 248.1, 4100, 1600, 32°42′03″N 97°07′29″W, 32.7007°N 97.1247°W, 32.7007 -97.1247, 76000-76099 (76029 is exclusive to UT-Arlington)
49, Tampa, Florida, 392890, 335709, +17.03%, 113.4, 293.7, 3326, 1284, 27°58′12″N 82°28′47″W, 27.9701°N 82.4797°W, 27.9701 -82.4797, 33601–33626  33629–33631  33633–33635  33637  33646  33647  33650  33655  33660–33664  33672–33675  33677  33679–33682  33684–33689  33694
50, New Orleans, Louisiana, 391006, 343829, +13.72%, 169.4, 438.7, 2311, 892, 30°03′12″N 89°56′04″W, 30.0534°N 89.9345°W, 30.0534 -89.9345, New Orleans error: parse didn't find zip codes
51, Wichita, Kansas, 389255, 382368, +1.80%, 160.4, 415.4, 2431, 939, 37°41′27″N 97°20′45″W, 37.6907°N 97.3459°W, 37.6907 -97.3459, 67201-67221  67223  67226-67228  67230  67232  67235  67260  67275-67278
52, Cleveland, Ohio, 383793, 396815, −3.28%, 77.7, 201.2, 4965, 1917, 41°28′43″N 81°40′46″W, 41.4785°N 81.6794°W, 41.4785 -81.6794, Zip codes  44101-44106  44108-44115  44118-44122  44124-44130  44134-44135  44143-44144  44181  44188  44190-44195  44197-44199
53, Bakersfield, California, 383579, 347483, +10.39%, 148.8, 385.4, 2529, 976, 35°19′16″N 119°01′06″W, 35.3212°N 119.0183°W, 35.3212 -119.0183, 93220  93241  93263  93301–93309  93311–93314  93380–93390  93399
54, Aurora, Colorado, 374114, 325078, +15.08%, 153.5, 397.6, 2356, 910, 39°41′17″N 104°41′23″W, 39.6880°N 104.6897°W, 39.6880 -104.6897, 80010-80019  80040-80047 (all but 80045 PO Boxes)  80137  80247
55, Anaheim, California, 352005, 336265, +4.68%, 50.0, 129.5, 7021, 2711, 33°51′20″N 117°45′36″W, 33.8555°N 117.7601°W, 33.8555 -117.7601, 92801–92809  92812  92814–92817  92825  92850  92899
56, Honolulu, Hawaii, 347397, 337256, +3.01%, 60.5, 156.7, 5815, 2245, 21°19′27″N 157°50′51″W, 21.3243°N 157.8476°W, 21.3243 -157.8476, 96801–96850
57, Santa Ana, California, 332725, 324528, +2.53%, 27.1, 70.2, 12333, 4762, 33°44′11″N 117°52′59″W, 33.7363°N 117.8830°W, 33.7363 -117.8830, 92701–92708  92711  92712  92728  92735  92799
58, Riverside, California, 330063, 303871, +8.62%, 81.2, 210.3, 3999, 1544, 33°56′17″N 117°23′36″W, 33.9381°N 117.3932°W, 33.9381 -117.3932, 92501–92509  92513–92519  92521–92522
59, Corpus Christi, Texas, 326554, 305215, +6.99%, 174.6, 452.2, 1866, 720, 27°45′15″N 97°10′24″W, 27.7543°N 97.1734°W, 27.7543 -97.1734, 78401–78402  78404–78418
60, Lexington, Kentucky, 323780, 295803, +9.46%, 283.6, 734.5, 1123, 434, 38°02′27″N 84°27′30″W, 38.0407°N 84.4583°W, 38.0407 -84.4583, 40502–40517  40522–40524  40526  40533  40536  40544  40546  40550  40555  40574–40583  40588  40591  40598
61, Stockton, California, 311178, 291707, +6.67%, 61.7, 159.8, 4977, 1922, 37°58′35″N 121°18′48″W, 37.9763°N 121.3133°W, 37.9763 -121.3133, 95201–95213  95215  95219  95267  95269  95296–95297
62, Henderson, Nevada, 310390, 257729, +20.43%, 104.7, 271.2, 2798, 1080, 36°00′35″N 115°02′09″W, 36.0097°N 115.0357°W, 36.0097 -115.0357, 89002  89009  89011  89012  89014-89016  89044  89052  89053  89074  89077
63, Saint Paul, Minnesota, 307695, 285068, +7.94%, 52.0, 134.7, 5815, 2245, 44°56′56″N 93°06′15″W, 44.9489°N 93.1041°W, 44.9489 -93.1041, 55101–55175
64, St. Louis, Missouri, 302838, 319294, −5.15%, 62.0, 160.6, 5023, 1939, 38°38′09″N 90°14′41″W, 38.6357°N 90.2446°W, 38.6357 -90.2446, (Almost all of63101-63199)  63101-63141  63143-63147  63150-63151  63155-63158  63160  63163-63164  63166-63167  63169  63171  63177-63180  63182  63188  63190  63195  63197-63199
65, Cincinnati, Ohio, 302605, 296943, +1.91%, 77.4, 200.5, 3860, 1490, 39°08′25″N 84°30′21″W, 39.1402°N 84.5058°W, 39.1402 -84.5058, ZIP Codes  45201–45209  45211–45255  45258  45262–45264  45267–45271  45273–45275  45277  45280  45296  45298–45299  45999
66, Pittsburgh, Pennsylvania, 301048, 305704, −1.52%, 55.4, 143.5, 5481, 2116, 40°26′23″N 79°58′36″W, 40.4398°N 79.9766°W, 40.4398 -79.9766, 34 total ZIP codes:  15106  15120–15121  15201  15203–15208  15210–15222  15224  15226–15227  15230  15232–15235  15237  15239  15289  15229
67, Greensboro, North Carolina, 294722, 269666, +9.29%, 128.3, 332.3, 2237, 864, 36°05′42″N 79°49′37″W, 36.0951°N 79.8270°W, 36.0951 -79.8270, 27214  27282  27301  27358  27401  27402  27403  27404  27405  27406  27407  27408  27409  27410  27411  27412  27413  27415  27420  27412  27429  27435  27438  27455  27495  27497  27498  27499
68, Anchorage, Alaska, 291538, 291826, −0.10%, 1706.6, 4420.1, 175, 68, 61°10′27″N 149°17′03″W, 61.1743°N 149.2843°W, 61.1743 -149.2843, 99501–99524  99529-99530  99599
69, Plano, Texas, 288061, 259841, +10.86%, 71.7, 185.7, 3990, 1540, 33°03′03″N 96°44′52″W, 33.0508°N 96.7479°W, 33.0508 -96.7479, 75023-26  75074-75  75086  75093-94
70, Lincoln, Nebraska, 287401, 258379, +11.23%, 92.1, 238.5, 3044, 1175, 40°48′38″N 96°40′49″W, 40.8105°N 96.6803°W, 40.8105 -96.6803, 68501-68510  68512  68514  68516-68517  68520-68524  68526-68529  68531-68532  68542  68544  68583  68588
71, Orlando, Florida, 285713, 238300, +19.90%, 105.2, 272.5, 2635, 1017, 28°25′00″N 81°16′25″W, 28.4166°N 81.2736°W, 28.4166 -81.2736, 32825
72, Irvine, California, 282572, 212375, +33.05%, 65.6, 169.9, 4057, 1566, 33°40′42″N 117°46′17″W, 33.6784°N 117.7713°W, 33.6784 -117.7713, 92602–92604  92606  92612  92614  92616–92620  92623  92650  92697
73, Newark, New Jersey, 282090, 277140, +1.79%, 24.1, 62.4, 11691, 4514, 40°43′27″N 74°10′21″W, 40.7242°N 74.1726°W, 40.7242 -74.1726, 07101-07108  07112  07114
74, Toledo, Ohio, 274975, 287208, −4.26%, 80.7, 209.0, 3451, 1332, 41°39′51″N 83°34′55″W, 41.6641°N 83.5819°W, 41.6641 -83.5819, Zip codes  43601  43603-43615  43617  43620  43623  43635  43652  43654  43656-43657  43659-43661  43666-43667  43681-43682  43697  43699
75, Durham, North Carolina, 274291, 228330, +20.13%, 109.8, 284.4, 2395, 925, 35°58′52″N 78°54′10″W, 35.9811°N 78.9029°W, 35.9811 -78.9029, 27701  27702  27703  27704  27705  27706  27707  27708  27709  27710  27711  27712  27713  27715  27717  27722
76, Chula Vista, California, 271651, 243916, +11.37%, 49.6, 128.5, 5387, 2080, 32°37′40″N 117°00′55″W, 32.6277°N 117.0152°W, 32.6277 -117.0152, 91909–91915  91921
77, Fort Wayne, Indiana, 267633, 253691, +5.50%, 110.6, 286.5, 2391, 923, 41°05′18″N 85°08′38″W, 41.0882°N 85.1439°W, 41.0882 -85.1439, ZIP codes  46774  46802–46809  46814–46816  46818  46819  46825  46835  46845
78, Jersey City, New Jersey, 265549, 247597, +7.25%, 14.8, 38.3, 17848, 6891, 40°42′41″N 74°03′53″W, 40.7114°N 74.0648°W, 40.7114 -74.0648, 07097  07302-07308  07310-07311
79, St. Petersburg, Florida, 265098, 244769, +8.31%, 61.8, 160.1, 4223, 1631, 27°45′43″N 82°38′39″W, 27.7620°N 82.6441°W, 27.7620 -82.6441, 33701  33702  33703  33704  33705  33710  33712-33713  33715
80, Laredo, Texas, 261639, 236091, +10.82%, 101.1, 261.8, 2544, 982, 27°33′37″N 99°29′21″W, 27.5604°N 99.4892°W, 27.5604 -99.4892, 78040–78046  78049
81, Madison, Wisconsin, 258054, 233209, +10.65%, 77.0, 199.4, 3280, 1270, 43°05′16″N 89°25′48″W, 43.0878°N 89.4299°W, 43.0878 -89.4299, Madison error: parse didn't find zip codes
82, Chandler, Arizona, 257165, 236123, +8.91%, 64.9, 168.1, 3813, 1472, 33°16′58″N 111°51′18″W, 33.2829°N 111.8549°W, 33.2829 -111.8549, 85225  85224  85286  85248  85249 85247 85246
83, Buffalo, New York, 256304, 261310, −1.92%, 40.4, 104.6, 6359, 2455, 42°53′33″N 78°51′35″W, 42.8925°N 78.8597°W, 42.8925 -78.8597, 142XX
84, Lubbock, Texas, 255885, 229573, +11.46%, 124.6, 322.7, 2027, 783, 33°33′56″N 101°53′12″W, 33.5656°N 101.8867°W, 33.5656 -101.8867, 79401-79416  79423  79424  79430  79452  79453  79457  79464  79490  79491  79493  79499
85, Scottsdale, Arizona, 255310, 217385, +17.45%, 183.9, 476.3, 1341, 518, 33°41′03″N 111°51′40″W, 33.6843°N 111.8611°W, 33.6843 -111.8611, 85250–85271
86, Reno, Nevada, 250998, 225221, +11.45%, 107.3, 277.9, 2286, 883, 39°32′57″N 119°51′00″W, 39.5491°N 119.8499°W, 39.5491 -119.8499, 89500-89599
87, Glendale, Arizona, 250702, 226721, +10.58%, 59.1, 153.1, 4161, 1607, 33°31′59″N 112°11′24″W, 33.5331°N 112.1899°W, 33.5331 -112.1899, 85301-85318
88, Gilbert, Arizona, 248279, 208453, +19.11%, 68.0, 176.1, 3487, 1346, 33°18′37″N 111°44′35″W, 33.3103°N 111.7431°W, 33.3103 -111.7431, 85233  85234  85295-85298
