Rank, City, State, 2018 estimate, 2010 Census,Change[%], 2016 land area[sq mi], 2016 land area[km*km], 2016 population density[/sq mi], 2016 population density[km*km], coordinates[lat° ' "N long° ' "W], coordinates[lat°N long°W], coordinates[lat long], Zip Codes
196, Denton, Texas, 138541, 113383, +22.19%, 93.4, 241.9, 1433, 553, 33°13′00″N 97°08′29″W, 33.2166°N 97.1414°W, 33.2166 -97.1414, 76201–76210
197, Waco, Texas, 138183, 124805, +10.72%, 89.0, 230.5, 1510, 580, 31°33′36″N 97°11′10″W, 31.5601°N 97.1860°W, 31.5601 -97.1860, 76700-76799
198, Surprise, Arizona, 138161, 117517, +17.57%, 107.9, 279.5, 1230, 470, 33°40′14″N 112°27′10″W, 33.6706°N 112.4527°W, 33.6706 -112.4527, 85374  85378-85379  85387-85388
199, Carrollton, Texas, 136879, 119097, +14.93%, 36.3, 94.0, 3674, 1419, 32°59′18″N 96°53′59″W, 32.9884°N 96.8998°W, 32.9884 -96.8998, 75006  75007  75010  75011
200, West Valley City, Utah, 136401, 129480, +5.35%, 35.5, 91.9, 3847, 1485, 40°41′19″N 112°00′42″W, 40.6885°N 112.0118°W, 40.6885 -112.0118, West Valley City error: parse didn't find zip codes
201, Charleston, South Carolina, 136208, 120083, +13.43%, 109.0, 282.3, 1233, 476, 32°49′04″N 79°57′32″W, 32.8179°N 79.9590°W, 32.8179 -79.9590, 29401  29403  29405  29407  29409  29412  29414  29424  29425  29455  29492
202, Warren, Michigan, 134587, 134056, +0.40%, 34.4, 89.1, 3928, 1517, 42°29′34″N 83°01′30″W, 42.4929°N 83.0250°W, 42.4929 -83.0250, 48088  48089  48090  48091  48092  48093  48397
203, Hampton, Virginia, 134313, 137436, −2.27%, 51.5, 133.4, 2629, 1015, 37°02′53″N 76°17′50″W, 37.0480°N 76.2971°W, 37.0480 -76.2971, Hampton error: parse didn't find zip codes
204, Gainesville, Florida, 133857, 124354, +7.64%, 62.3, 161.4, 2112, 815, 29°40′44″N 82°20′46″W, 29.6788°N 82.3461°W, 29.6788 -82.3461, 32601–32614  32627  32635  32641  32653
205, Visalia, California, 133800, 124442, +7.52%, 37.5, 97.1, 3495, 1349, 36°19′38″N 119°19′44″W, 36.3273°N 119.3289°W, 36.3273 -119.3289, 93277-93279  93290-93292
206, Coral Springs, Florida, 133507, 121096, +10.25%, 23.8, 61.6, 5465, 2110, 26°16′15″N 80°15′33″W, 26.2707°N 80.2593°W, 26.2707 -80.2593, 33065  33067  33071  33073  33075  33076  33077
207, Columbia, South Carolina, 133451, 129272, +3.23%, 133.5, 345.8, 1006, 388, 34°01′45″N 80°53′53″W, 34.0291°N 80.8980°W, 34.0291 -80.8980, 29201  29203-6  29209-10  29212  29223  29225  29229
208, Cedar Rapids, Iowa, 133174, 126326, +5.42%, 70.8, 183.4, 1852, 715, 41°58′01″N 91°40′40″W, 41.9670°N 91.6778°W, 41.9670 -91.6778, 52227  52228  52233  52324  52338  52401-11  52497-99
209, Sterling Heights, Michigan, 132964, 129699, +2.52%, 36.5, 94.5, 3628, 1401, 42°34′52″N 83°01′49″W, 42.5812°N 83.0303°W, 42.5812 -83.0303, 48310  48311  48312  48313  48314
210, New Haven, Connecticut, 130418, 129779, +0.49%, 18.7, 48.4, 6948, 2683, 41°18′39″N 72°55′30″W, 41.3108°N 72.9250°W, 41.3108 -72.9250, 06501–06540
211, Stamford, Connecticut, 129775, 122643, +5.82%, 37.6, 97.4, 3434, 1326, 41°04′48″N 73°32′46″W, 41.0799°N 73.5460°W, 41.0799 -73.5460, 069xx
212, Concord, California, 129688, 122067, +6.24%, 30.5, 79.0, 4221, 1630, 37°58′20″N 122°00′06″W, 37.9722°N 122.0016°W, 37.9722 -122.0016, 94518–94521
213, Kent, Washington, 129618, 92411, +40.26%, 33.7, 87.3, 3784, 1461, 47°23′17″N 122°12′46″W, 47.3880°N 122.2127°W, 47.3880 -122.2127, 98030  98031  98032  98035  98042  98064  98089
214, Santa Clara, California, 129488, 116468, +11.18%, 18.4, 47.7, 6845, 2643, 37°21′53″N 121°58′04″W, 37.3646°N 121.9679°W, 37.3646 -121.9679, 95050 95051 95054
215, Elizabeth, New Jersey, 128885, 124969, +3.13%, 12.3, 31.9, 10459, 4038, 40°39′59″N 74°11′37″W, 40.6664°N 74.1935°W, 40.6664 -74.1935, 07201 – Union Square station07202 – Bayway station07206 – Elizabethport station07207 – P.O. Boxes07208 – Elmora station
216, Round Rock, Texas, 128739, 99887, +28.88%, 35.6, 92.2, 3396, 1311, 30°31′31″N 97°39′58″W, 30.5252°N 97.6660°W, 30.5252 -97.6660, 78664  78665  78680—78683
217, Thousand Oaks, California, 127690, 126683, +0.79%, 55.2, 143.0, 2335, 902, 34°11′36″N 118°52′27″W, 34.1933°N 118.8742°W, 34.1933 -118.8742, 91359  91320  91360–91362
218, Lafayette, Louisiana, 126143, 120623, +4.58%, 53.8, 139.3, 2372, 916, 30°12′27″N 92°01′43″W, 30.2074°N 92.0285°W, 30.2074 -92.0285, 70501–9  70593  70596  70598
219, Athens, Georgia, 125964, 115452, +9.11%, 116.4, 301.5, 1060, 410, 33°56′59″N 83°22′12″W, 33.9496°N 83.3701°W, 33.9496 -83.3701, 30601  30602  30603  30604  30605  30606  30607  30608  30609  30612
220, Topeka, Kansas, 125904, 127473, −1.23%, 61.5, 159.3, 2062, 796, 39°02′05″N 95°41′46″W, 39.0347°N 95.6962°W, 39.0347 -95.6962, 66601-66612  66614-66622  66624-66626  66628-66629  66636-66637  66642  66647  66652-66653  66667  66675  66683  66692  66699
221, Simi Valley, California, 125851, 124237, +1.30%, 41.5, 107.5, 3044, 1175, 34°16′01″N 118°44′55″W, 34.2669°N 118.7485°W, 34.2669 -118.7485, 93062–93065  93093–93094  93099
222, Fargo, North Dakota, 124844, 105549, +18.28%, 49.3, 127.7, 2450, 950, 46°51′55″N 96°49′44″W, 46.8652°N 96.8290°W, 46.8652 -96.8290, 58102-58109  58121-58122  58124-58126
223, Norman, Oklahoma, 123471, 110925, +11.31%, 178.8, 463.1, 683, 264, 35°14′26″N 97°20′43″W, 35.2406°N 97.3453°W, 35.2406 -97.3453, Norman error: parse didn't find zip codes
224, Columbia, Missouri, 123180, 108500, +13.53%, 65.0, 168.3, 1856, 717, 38°57′06″N 92°19′43″W, 38.951561°N 92.328638°W, 38.951561 -92.328638, 65201  65202  65203  65211
225, Abilene, Texas, 122999, 117063, +5.07%, 106.7, 276.4, 1146, 442, 32°27′16″N 99°44′17″W, 32.4545°N 99.7381°W, 32.4545 -99.7381, 79601-08 79697-99
226, Wilmington, North Carolina, 122607, 106476, +15.15%, 51.6, 133.6, 2278, 880, 34°12′33″N 77°53′09″W, 34.2092°N 77.8858°W, 34.2092 -77.8858, 28401-28412
227, Hartford, Connecticut, 122587, 124775, −1.75%, 17.4, 45.1, 7083, 2735, 41°45′57″N 72°40′54″W, 41.7659°N 72.6816°W, 41.7659 -72.6816, 061xx
228, Victorville, California, 122312, 115903, +5.53%, 73.3, 189.8, 1668, 644, 34°31′40″N 117°21′13″W, 34.5277°N 117.3536°W, 34.5277 -117.3536, 92392–92395
229, Pearland, Texas, 122149, 91252, +33.86%, 46.3, 119.9, 2453, 947, 29°33′21″N 95°19′23″W, 29.5558°N 95.3231°W, 29.5558 -95.3231, 77581  77584  77588
230, Vallejo, California, 121913, 115942, +5.15%, 30.7, 79.5, 3951, 1525, 38°06′28″N 122°15′50″W, 38.1079°N 122.2640°W, 38.1079 -122.2640, 94589  94590  94591  94592
231, Ann Arbor, Michigan, 121890, 113934, +6.98%, 28.1, 72.8, 4298, 1659, 42°16′34″N 83°43′51″W, 42.2761°N 83.7309°W, 42.2761 -83.7309, 48103  48104  48105  48106  48107  48108  48109  48113
232, Berkeley, California, 121643, 112580, +8.05%, 10.5, 27.2, 11547, 4458, 37°52′01″N 122°17′57″W, 37.8670°N 122.2991°W, 37.8670 -122.2991, 94701–94710  94712  94720
233, Allentown, Pennsylvania, 121433, 118032, +2.88%, 17.5, 45.3, 6882, 2657, 40°35′37″N 75°28′42″W, 40.5936°N 75.4784°W, 40.5936 -75.4784, 18101  18102  18103  18104  18105  18106  18109  18175  18195
234, Richardson, Texas, 120981, 99223, +21.93%, 28.6, 74.1, 3963, 1530, 32°58′20″N 96°42′29″W, 32.9723°N 96.7081°W, 32.9723 -96.7081, 75080-75083  75085
235, Odessa, Texas, 120568, 99940, +20.64%, 45.2, 117.1, 2608, 1007, 31°53′02″N 102°20′28″W, 31.8838°N 102.3411°W, 31.8838 -102.3411, 79760-69
236, Arvada, Colorado, 120492, 106433, +13.21%, 38.6, 100.0, 3043, 1175, 39°50′01″N 105°09′01″W, 39.8337°N 105.1503°W, 39.8337 -105.1503, 80001-80007 and 80403
237, Cambridge, Massachusetts, 118977, 105162, +13.14%, 6.4, 16.6, 17289, 6675, 42°22′34″N 71°07′07″W, 42.3760°N 71.1187°W, 42.3760 -71.1187, 02138  02139  02140  02141  02142
238, Sugar Land, Texas, 118600, 78817, +50.48%, 34.0, 88.1, 3488, 1347, 29°35′58″N 95°36′51″W, 29.5994°N 95.6142°W, 29.5994 -95.6142, 77478-79  77487  77496  and 77498
239, Beaumont, Texas, 118428, 118296, +0.11%, 82.1, 212.6, 1441, 556, 30°05′06″N 94°08′43″W, 30.0849°N 94.1453°W, 30.0849 -94.1453, 77701–77710  77713  77720  77725  77726
240, Lansing, Michigan, 118427, 114297, +3.61%, 39.1, 101.3, 2967, 1146, 42°42′51″N 84°33′33″W, 42.7143°N 84.5593°W, 42.7143 -84.5593, 48901-48980
241, Evansville, Indiana, 117963, 117429, +0.45%, 47.3, 122.5, 2526, 975, 37°59′16″N 87°32′05″W, 37.9877°N 87.5347°W, 37.9877 -87.5347, 40 total ZIP codes:  47701  47702  47703  47704  47705  47706  47708  47710  47711  47712  47713  47714  47715  47716  47719  47720  47721  47722  47724  47725  47726  47727  47728  47730  47731  47732  47733  47734  47735  47736  47737  47739  47740  47741  47744  47747  47750  47755  47761  47777
242, Rochester, Minnesota, 116961, 106769, +9.55%, 54.6, 141.4, 2088, 806, 44°00′55″N 92°28′38″W, 44.0154°N 92.4772°W, 44.0154 -92.4772, 55901  55902  55903  55904  55905  55906
243, Independence, Missouri, 116925, 116830, +0.08%, 77.8, 201.5, 1504, 581, 39°05′08″N 94°21′08″W, 39.0855°N 94.3521°W, 39.0855 -94.3521, 64050-64057
244, Fairfield, California, 116884, 105321, +10.98%, 40.9, 105.9, 2806, 1083, 38°15′33″N 122°01′56″W, 38.2593°N 122.0321°W, 38.2593 -122.0321, 94533–94535
245, Provo, Utah, 116702, 112488, +3.75%, 41.7, 108.0, 2803, 1082, 40°14′43″N 111°38′41″W, 40.2453°N 111.6448°W, 40.2453 -111.6448, 84601-84606
246, Clearwater, Florida, 116478, 107685, +8.17%, 25.9, 67.1, 4415, 1705, 27°58′44″N 82°46′00″W, 27.9789°N 82.7666°W, 27.9789 -82.7666, 33755–33769
247, College Station, Texas, 116218, 93857, +23.82%, 51.0, 132.1, 2199, 849, 30°35′07″N 96°17′47″W, 30.5852°N 96.2964°W, 30.5852 -96.2964, 77840-77845
248, West Jordan, Utah, 116046, 103712, +11.89%, 32.3, 83.7, 3520, 1360, 40°36′09″N 112°00′03″W, 40.6024°N 112.0008°W, 40.6024 -112.0008, 84081  84084  84088
249, Carlsbad, California, 115877, 105328, +10.02%, 37.7, 97.6, 3023, 1167, 33°07′26″N 117°16′58″W, 33.1239°N 117.2828°W, 33.1239 -117.2828, 92008–92011  92018
250, El Monte, California, 115586, 113475, +1.86%, 9.6, 24.9, 12063, 4658, 34°04′29″N 118°01′45″W, 34.0746°N 118.0291°W, 34.0746 -118.0291, 91731–91735
251, Murrieta, California, 114985, 103466, +11.13%, 33.6, 87.0, 3324, 1283, 33°34′20″N 117°11′25″W, 33.5721°N 117.1904°W, 33.5721 -117.1904, 92562–92564
252, Temecula, California, 114742, 100097, +14.63%, 37.3, 96.6, 3031, 1170, 33°29′35″N 117°07′54″W, 33.4931°N 117.1317°W, 33.4931 -117.1317, 92589–92593
253, Springfield, Illinois, 114694, 116250, −1.34%, 60.1, 155.7, 1925, 743, 39°47′28″N 89°38′41″W, 39.7911°N 89.6446°W, 39.7911 -89.6446, ZIP codes  62701–62708  62711  62712  62715  62716  62719  62722  62723  62726  62736  62739  62756  62757  62761–62767  62769  62776  62777  62781  62786  62791  62794  62796
254, Palm Bay, Florida, 114194, 103190, +10.66%, 65.7, 170.2, 1676, 647, 27°59′08″N 80°39′45″W, 27.9856°N 80.6626°W, 27.9856 -80.6626, 32905-32911
255, Costa Mesa, California, 113615, 109960, +3.32%, 15.7, 40.7, 7186, 2775, 33°39′57″N 117°54′44″W, 33.6659°N 117.9123°W, 33.6659 -117.9123, 92626–92628
256, Westminster, Colorado, 113479, 106114, +6.94%, 31.7, 82.1, 3592, 1387, 39°52′56″N 105°03′52″W, 39.8822°N 105.0644°W, 39.8822 -105.0644, 80003  80005  80020-80021  80023  80030-80031  80035-80036  80221  80234  80241  80260
257, North Charleston, South Carolina, 113237, 97471, +16.18%, 73.7, 190.9, 1483, 573, 32°55′04″N 80°03′54″W, 32.9178°N 80.0650°W, 32.9178 -80.0650, North Charleston error: parse didn't find zip codes
258, Miami Gardens, Florida, 113069, 107167, +5.51%, 18.2, 47.1, 6212, 2398, 25°56′56″N 80°14′37″W, 25.9489°N 80.2436°W, 25.9489 -80.2436, 33014  33054  33055  33056  33152  33169
259, Manchester, New Hampshire, 112525, 109565, +2.70%, 33.1, 85.7, 3339, 1289, 42°59′06″N 71°26′39″W, 42.9849°N 71.4441°W, 42.9849 -71.4441, 03101-03111 (03110 assigned to suburb Bedford)
260, High Point, North Carolina, 112316, 104371, +7.61%, 55.2, 143.0, 2015, 778, 35°59′24″N 79°59′26″W, 35.9900°N 79.9905°W, 35.9900 -79.9905, 27260-27265
261, Downey, California, 112269, 111772, +0.44%, 12.4, 32.1, 9134, 3527, 33°56′18″N 118°07′51″W, 33.9382°N 118.1309°W, 33.9382 -118.1309, 90239–90242
262, Clovis, California, 112022, 95631, +17.14%, 24.2, 62.7, 4404, 1700, 36°49′42″N 119°41′06″W, 36.8282°N 119.6849°W, 36.8282 -119.6849, 93611–93613 and 93619
263, Pompano Beach, Florida, 111954, 99845, +12.13%, 24.0, 62.2, 4558, 1760, 26°14′30″N 80°08′02″W, 26.2416°N 80.1339°W, 26.2416 -80.1339, 33060-33077  33093  33097
264, Pueblo, Colorado, 111750, 106595, +4.84%, 53.6, 138.8, 2058, 795, 38°16′12″N 104°36′44″W, 38.2699°N 104.6123°W, 38.2699 -104.6123, 81001-81012
265, Elgin, Illinois, 111683, 108188, +3.23%, 37.4, 96.9, 2998, 1158, 42°02′23″N 88°19′18″W, 42.0396°N 88.3217°W, 42.0396 -88.3217, 60120–60125
266, Lowell, Massachusetts, 111670, 106519, +4.84%, 13.6, 35.2, 8129, 3139, 42°38′20″N 71°19′16″W, 42.6390°N 71.3211°W, 42.6390 -71.3211, 01850  01851  01852  01853  01854
267, Antioch, California, 111535, 102372, +8.95%, 29.4, 76.1, 3772, 1456, 37°58′45″N 121°47′46″W, 37.9791°N 121.7962°W, 37.9791 -121.7962, 94509  94531
268, West Palm Beach, Florida, 111398, 99919, +11.49%, 55.1, 142.7, 1963, 758, 26°44′47″N 80°07′30″W, 26.7464°N 80.1251°W, 26.7464 -80.1251, 33401–33422
269, Peoria, Illinois, 111388, 115007, −3.15%, 48.2, 124.8, 2371, 915, 40°45′05″N 89°37′03″W, 40.7515°N 89.6174°W, 40.7515 -89.6174, 29 total ZIP codes:  61601-61607  61612-61615  61625  61629  61630  61633  61634  61636-61639  61641  61643  61650-61656
270, Everett, Washington, 111262, 103019, +8.00%, 33.3, 86.2, 3275, 1264, 47°57′24″N 122°11′29″W, 47.9566°N 122.1914°W, 47.9566 -122.1914, 98201  98203  98204  98206  98207  98208  98213
271, Ventura[aa], California, 111128, 106433, +4.41%, 21.8, 56.5, 5027, 1941, 34°16′04″N 119°15′15″W, 34.2678°N 119.2542°W, 34.2678 -119.2542, 93001–93007  93009
272, Centennial, Colorado, 110831, 100377, +10.41%, 29.5, 76.4, 3727, 1439, 39°35′26″N 104°52′09″W, 39.5906°N 104.8691°W, 39.5906 -104.8691, 80015-80016  80111-80112  80121-80122 80161 (PO Box)
273, Lakeland, Florida, 110516, 97422, +13.44%, 65.9, 170.7, 1615, 624, 28°03′20″N 81°57′18″W, 28.0555°N 81.9549°W, 28.0555 -81.9549, 33801–33815
274, Gresham, Oregon, 110158, 105594, +4.32%, 23.3, 60.3, 4786, 1848, 45°30′08″N 122°26′30″W, 45.5023°N 122.4416°W, 45.5023 -122.4416, 97030  97080  97233
275, Richmond, California, 110146, 103701, +6.21%, 30.1, 78.0, 3648, 1409, 37°57′08″N 122°21′38″W, 37.9523°N 122.3606°W, 37.9523 -122.3606, 94801  94802  94804  94805  94807  94808  94850
276, Billings, Montana, 109550, 104170, +5.16%, 43.7, 113.2, 2525, 975, 45°47′19″N 108°33′00″W, 45.7885°N 108.5499°W, 45.7885 -108.5499, 59101-59117
277, Inglewood, California, 109419, 109673, −0.23%, 9.1, 23.6, 12160, 4700, 33°57′22″N 118°20′39″W, 33.9561°N 118.3443°W, 33.9561 -118.3443, 90301–90312
278, Broken Arrow, Oklahoma, 109171, 98850, +10.44%, 61.7, 159.8, 1741, 672, 36°02′11″N 95°46′52″W, 36.0365°N 95.7810°W, 36.0365 -95.7810, 74011-74014
279, Sandy Springs, Georgia, 108797, 93853, +15.92%, 37.7, 97.6, 2804, 1083, 33°55′53″N 84°22′07″W, 33.9315°N 84.3687°W, 33.9315 -84.3687, 30328  30327  30338  30342  30350  30358  30319  30092
280, Jurupa Valley, California, 108393, 0, NA[ab], 42.9, 111.1, 2414, 932, 34°00′09″N 117°28′03″W, 34.0026°N 117.4676°W, 34.0026 -117.4676, 92509  91752
281, Hillsboro, Oregon, 108389, 91611, +18.31%, 25.0, 64.7, 4207, 1624, 45°31′41″N 122°56′09″W, 45.5280°N 122.9357°W, 45.5280 -122.9357, 97123  97124  97006
282, Waterbury, Connecticut, 108093, 110366, −2.06%, 28.5, 73.8, 3799, 1467, 41°33′31″N 73°02′12″W, 41.5585°N 73.0367°W, 41.5585 -73.0367, 06701–06720
283, Santa Maria, California, 107408, 99553, +7.89%, 22.8, 59.1, 4662, 1800, 34°56′00″N 120°26′38″W, 34.9332°N 120.4438°W, 34.9332 -120.4438, 93454–93458
284, Boulder, Colorado, 107353, 97385, +10.24%, 24.8, 64.2, 4358, 1683, 40°01′37″N 105°15′07″W, 40.0270°N 105.2519°W, 40.0270 -105.2519, 80301-80310  80314  80321-80323  80328  80329
285, Greeley, Colorado, 107348, 92889, +15.57%, 47.8, 123.8, 2176, 840, 40°24′55″N 104°46′11″W, 40.4153°N 104.7697°W, 40.4153 -104.7697, 80631-80634 & 80638-80639
286, Daly City, California, 107008, 101123, +5.82%, 7.6, 19.7, 14009, 5409, 37°42′03″N 122°27′54″W, 37.7009°N 122.4650°W, 37.7009 -122.4650, 94014–94017
287, Meridian, Idaho, 106804, 75092, +42.23%, 29.8, 77.2, 3584, 1384, 43°36′51″N 116°23′56″W, 43.6142°N 116.3989°W, 43.6142 -116.3989, 83642  83646  83680
288, Lewisville, Texas, 106586, 95290, +11.85%, 36.7, 95.1, 2852, 1101, 33°02′48″N 96°58′54″W, 33.0466°N 96.9818°W, 33.0466 -96.9818, 75029  75057  75067  75077
289, Davie[ac], Florida, 106558, 91992, +15.83%, 34.9, 90.4, 2919, 1127, 26°04′45″N 80°17′06″W, 26.0791°N 80.2850°W, 26.0791 -80.2850, 33312  33314  33317  33324-33332  33355  33331
290, West Covina, California, 106311, 106098, +0.20%, 16.0, 41.4, 6740, 2600, 34°03′21″N 117°54′36″W, 34.0559°N 117.9099°W, 34.0559 -117.9099, 91790–91793
291, League City, Texas, 106244, 83560, +27.15%, 51.2, 132.6, 1992, 769, 29°29′24″N 95°06′33″W, 29.4901°N 95.1091°W, 29.4901 -95.1091, 77573-77574
292, Tyler, Texas, 105729, 96900, +9.11%, 56.6, 146.6, 1852, 715, 32°19′02″N 95°18′21″W, 32.3173°N 95.3059°W, 32.3173 -95.3059, 757xx
293, Norwalk, California, 105120, 105549, −0.41%, 9.7, 25.1, 10946, 4226, 33°54′27″N 118°05′01″W, 33.9076°N 118.0835°W, 33.9076 -118.0835, 90650–90652  90659
294, San Mateo, California, 105025, 97207, +8.04%, 12.1, 31.3, 8592, 3317, 37°33′37″N 122°18′38″W, 37.5603°N 122.3106°W, 37.5603 -122.3106, 94401–94404  94497
295, Green Bay, Wisconsin, 104879, 104057, +0.79%, 45.4, 117.6, 2316, 894, 44°31′15″N 87°59′03″W, 44.5207°N 87.9842°W, 44.5207 -87.9842, 54301-08  54311  54313  54324  54344
296, Wichita Falls, Texas, 104576, 104553, +0.02%, 72.2, 187.0, 1450, 560, 33°54′24″N 98°31′33″W, 33.9067°N 98.5259°W, 33.9067 -98.5259, 76301-11
297, Sparks, Nevada, 104246, 90264, +15.49%, 35.9, 93.0, 2810, 1080, 39°33′16″N 119°44′08″W, 39.5544°N 119.7356°W, 39.5544 -119.7356, 89431–89437
298, Lakewood[ad], New Jersey, 104157, 92843, +12.19%, 24.7, 64.0, 4079, 1575, 40°04′38″N 74°12′01″W, 40.0771°N 74.2004°W, 40.0771 -74.2004, 08701
299, Burbank, California, 103695, 103340, +0.34%, 17.4, 45.1, 6003, 2318, 34°11′24″N 118°19′35″W, 34.1901°N 118.3264°W, 34.1901 -118.3264, 91501–91508  91510  91521–91523  91526
300, Rialto, California, 103440, 99171, +4.30%, 22.3, 57.8, 4633, 1789, 34°06′42″N 117°23′18″W, 34.1118°N 117.3883°W, 34.1118 -117.3883, 92376–92377
301, Allen, Texas, 103383, 84246, +22.72%, 27.1, 70.2, 3715, 1434, 33°05′59″N 96°39′47″W, 33.0997°N 96.6631°W, 33.0997 -96.6631, 75002  75013
302, El Cajon, California, 103241, 99478, +3.78%, 14.5, 37.6, 7156, 2763, 32°48′06″N 116°57′37″W, 32.8017°N 116.9604°W, 32.8017 -116.9604, 92019–92022  92090
303, Las Cruces, New Mexico, 102926, 97618, +5.44%, 76.9, 199.2, 1323, 511, 32°19′35″N 106°47′23″W, 32.3264°N 106.7897°W, 32.3264 -106.7897, Las Cruces error: parse didn't find zip codes
304, Renton, Washington, 102153, 90927, +12.35%, 23.4, 60.6, 4314, 1666, 47°28′34″N 122°11′31″W, 47.4761°N 122.1920°W, 47.4761 -122.1920, 98055–98059
305, Davenport, Iowa, 102085, 99685, +2.41%, 62.9, 162.9, 1631, 630, 41°33′15″N 90°36′14″W, 41.5541°N 90.6040°W, 41.5541 -90.6040, 52801–52809
306, South Bend, Indiana, 101860, 101168, +0.68%, 41.4, 107.2, 2457, 949, 41°40′37″N 86°16′08″W, 41.6769°N 86.2690°W, 41.6769 -86.2690, 46601  46604  46612–46617  46619–46620  46624  46626  46628–46629  46634–46635  46637  46660  46680  46699
307, Vista, California, 101224, 93834, +7.88%, 18.7, 48.4, 5436, 2099, 33°11′22″N 117°14′19″W, 33.1895°N 117.2386°W, 33.1895 -117.2386, 92081  92083–92085
308, Tuscaloosa, Alabama, 101113, 90468, +11.77%, 71.7, 185.7, 1399, 540, 33°12′23″N 87°32′05″W, 33.2065°N 87.5346°W, 33.2065 -87.5346, 35401-35407  35485-35487
309, Clinton[ae], Michigan, 100800, 96796, +4.14%, 28.1, 72.8, 3573, 1380, 42°35′25″N 82°55′01″W, 42.5903°N 82.9170°W, 42.5903 -82.9170, 48035  48036  48038
310, Edison[ad], New Jersey, 100693, 99967, +0.73%, 30.1, 78.0, 3389, 1309, 40°30′14″N 74°20′58″W, 40.5040°N 74.3494°W, 40.5040 -74.3494, 08817  08818  08820  08837  08899
311, Woodbridge[ad], New Jersey, 100450, 99585, +0.87%, 23.3, 60.3, 4351, 1680, 40°33′39″N 74°17′34″W, 40.5607°N 74.2927°W, 40.5607 -74.2927, 07001 - Avenel07064 - Port Reading07067 - Colonia07077 - Sewaren07095 - Woodbridge08830 - Iselin08832 - Keasbey08840 - Menlo Park Terrace08861 - Hopelawn08863 - Fords
312, San Angelo, Texas, 100215, 93200, +7.53%, 59.9, 155.1, 1681, 649, 31°26′28″N 100°27′02″W, 31.4411°N 100.4505°W, 31.4411 -100.4505, 76901-09
313, Kenosha, Wisconsin, 100164, 99218, +0.95%, 28.0, 72.5, 3577, 1381, 42°34′56″N 87°50′44″W, 42.5822°N 87.8456°W, 42.5822 -87.8456, 53140–53144
