Rank, City, State, 2018 estimate, 2010 Census,Change[%], 2016 land area[sq mi], 2016 land area[km*km], 2016 population density[/sq mi], 2016 population density[km*km], location,
156, Springfield, Missouri, 168122, 159498, +5.41%, 82.3, 213.2, 2033, 785, 37°11′39″N 93°17′29″W, 
157, Fort Collins, Colorado, 167830, 143986, +16.56%, 55.8, 144.5, 2943, 1136, 40°32′54″N 105°03′53″W, 
158, Jackson, Mississippi, 164422, 173514, −5.24%, 111.0, 287.5, 1524, 588, 32°18′57″N 90°12′46″W, 
159, Alexandria, Virginia, 160530, 139966, +14.69%, 15.0, 38.8, 10387, 4010, 38°49′12″N 77°05′03″W, 
160, Hayward, California, 159620, 144186, +10.70%, 45.5, 117.8, 3493, 1349, 37°37′43″N 122°06′09″W, 
161, Lancaster, California, 159053, 156633, +1.55%, 94.3, 244.2, 1698, 656, 34°41′37″N 118°10′31″W, 
162, Lakewood, Colorado, 156798, 142980, +9.66%, 42.9, 111.1, 3599, 1390, 39°41′56″N 105°07′03″W, 
163, Clarksville, Tennessee, 156794, 132929, +17.95%, 98.3, 254.6, 1529, 590, 36°33′59″N 87°20′43″W, 
164, Palmdale, California, 156667, 152750, +2.56%, 106.0, 274.5, 1484, 573, 34°35′28″N 118°06′19″W, 
165, Salinas, California, 156259, 150441, +3.87%, 23.6, 61.1, 6662, 2572, 36°41′25″N 121°38′01″W, 
166, Springfield, Massachusetts, 155032, 153060, +1.29%, 31.9, 82.6, 4830, 1860, 42°06′56″N 72°32′24″W, 
167, Hollywood, Florida, 154823, 140768, +9.98%, 27.3, 70.7, 5568, 2150, 26°01′52″N 80°09′53″W, 
168, Pasadena, Texas, 153219, 149043, +2.80%, 43.5, 112.7, 3525, 1361, 29°39′31″N 95°09′02″W, 
169, Sunnyvale, California, 153185, 140081, +9.35%, 22.0, 57.0, 6944, 2681, 37°23′09″N 122°01′35″W, 
170, Macon, Georgia, 153095, 91351, +67.59%, 249.3, 645.7, 612, 236, 32°48′32″N 83°41′39″W, 
171, Kansas City, Kansas, 152958, 145786, +4.92%, 124.8, 323.2, 1216, 470, 39°07′21″N 94°44′30″W, 
172, Pomona, California, 152361, 149058, +2.22%, 23.0, 59.6, 6630, 2560, 34°03′31″N 117°45′40″W, 
173, Escondido, California, 152213, 143911, +5.77%, 37.1, 96.1, 4087, 1578, 33°07′59″N 117°04′26″W, 
174, Killeen, Texas, 149103, 127921, +16.56%, 53.5, 138.6, 2680, 1030, 31°04′40″N 97°43′55″W, 
175, Naperville, Illinois, 148304, 141853, +4.55%, 38.7, 100.2, 3802, 1468, 41°44′57″N 88°09′43″W, 
176, Joliet, Illinois, 148099, 147433, +0.45%, 64.4, 166.8, 2302, 889, 41°31′04″N 88°08′56″W, 
177, Bellevue, Washington, 147599, 122363, +20.62%, 33.5, 86.8, 4221, 1630, 47°35′52″N 122°09′23″W, 
178, Rockford, Illinois, 146526, 152871, −4.15%, 63.5, 164.5, 2325, 898, 42°15′32″N 89°03′53″W, 
179, Savannah, Georgia, 145862, 136286, +7.03%, 103.6, 268.3, 1417, 547, 32°00′09″N 81°09′13″W, 
180, Paterson, New Jersey, 145627, 146199, −0.39%, 8.4, 21.8, 17500, 6800, 40°54′53″N 74°09′46″W, 
181, Torrance, California, 145182, 145438, −0.18%, 20.5, 53.1, 7180, 2770, 33°50′06″N 118°20′29″W, 
182, Bridgeport, Connecticut, 144900, 144229, +0.47%, 16.1, 41.7, 9064, 3500, 41°11′15″N 73°11′45″W, 
183, McAllen, Texas, 143433, 129877, +10.44%, 58.4, 151.3, 2435, 940, 26°13′56″N 98°14′47″W, 
184, Mesquite, Texas, 142816, 139824, +2.14%, 47.2, 122.2, 3045, 1176, 32°45′46″N 96°35′20″W, 
185, Syracuse, New York, 142749, 145170, −1.67%, 25.0, 64.7, 5735, 2214, 43°02′28″N 76°08′37″W, 
186, Midland, Texas, 142344, 111147, +28.07%, 74.4, 192.7, 1809, 698, 32°01′29″N 102°06′49″W, 
187, Pasadena, California, 141371, 137122, +3.10%, 23.0, 59.6, 6176, 2385, 34°09′38″N 118°08′23″W, 
188, Murfreesboro, Tennessee, 141344, 108755, +29.97%, 55.9, 144.8, 2360, 910, 35°51′08″N 86°24′58″W, 
189, Miramar, Florida, 140823, 122041, +15.39%, 29.4, 76.1, 4709, 1818, 25°58′37″N 80°20′09″W, 
190, Dayton, Ohio, 140640, 141527, −0.63%, 55.7, 144.3, 2522, 974, 39°46′39″N 84°11′59″W, 
191, Fullerton, California, 139640, 135161, +3.31%, 22.4, 58.0, 6282, 2425, 33°53′09″N 117°55′41″W, 
192, Olathe, Kansas, 139605, 125872, +10.91%, 60.9, 157.7, 2225, 859, 38°53′03″N 94°49′10″W, 
193, Orange, California, 139484, 136416, +2.25%, 25.4, 65.8, 5532, 2136, 33°47′13″N 117°51′41″W, 
194, Thornton, Colorado, 139436, 118772, +17.40%, 35.7, 92.5, 3829, 1478, 39°55′10″N 104°56′34″W, 
195, Roseville, California, 139117, 118788, +17.11%, 43.0, 111.4, 3085, 1191, 38°46′08″N 121°19′08″W, 
196, Denton, Texas, 138541, 113383, +22.19%, 93.4, 241.9, 1433, 553, 33°13′00″N 97°08′29″W, 
197, Waco, Texas, 138183, 124805, +10.72%, 89.0, 230.5, 1510, 580, 31°33′36″N 97°11′10″W, 
198, Surprise, Arizona, 138161, 117517, +17.57%, 107.9, 279.5, 1230, 470, 33°40′14″N 112°27′10″W, 
199, Carrollton, Texas, 136879, 119097, +14.93%, 36.3, 94.0, 3674, 1419, 32°59′18″N 96°53′59″W, 
200, West Valley City, Utah, 136401, 129480, +5.35%, 35.5, 91.9, 3847, 1485, 40°41′19″N 112°00′42″W, 
201, Charleston, South Carolina, 136208, 120083, +13.43%, 109.0, 282.3, 1233, 476, 32°49′04″N 79°57′32″W, 
202, Warren, Michigan, 134587, 134056, +0.40%, 34.4, 89.1, 3928, 1517, 42°29′34″N 83°01′30″W, 
203, Hampton, Virginia, 134313, 137436, −2.27%, 51.5, 133.4, 2629, 1015, 37°02′53″N 76°17′50″W, 
204, Gainesville, Florida, 133857, 124354, +7.64%, 62.3, 161.4, 2112, 815, 29°40′44″N 82°20′46″W, 
205, Visalia, California, 133800, 124442, +7.52%, 37.5, 97.1, 3495, 1349, 36°19′38″N 119°19′44″W, 
206, Coral Springs, Florida, 133507, 121096, +10.25%, 23.8, 61.6, 5465, 2110, 26°16′15″N 80°15′33″W, 
207, Columbia, South Carolina, 133451, 129272, +3.23%, 133.5, 345.8, 1006, 388, 34°01′45″N 80°53′53″W, 
208, Cedar Rapids, Iowa, 133174, 126326, +5.42%, 70.8, 183.4, 1852, 715, 41°58′01″N 91°40′40″W, 
209, Sterling Heights, Michigan, 132964, 129699, +2.52%, 36.5, 94.5, 3628, 1401, 42°34′52″N 83°01′49″W, 
210, New Haven, Connecticut, 130418, 129779, +0.49%, 18.7, 48.4, 6948, 2683, 41°18′39″N 72°55′30″W, 
211, Stamford, Connecticut, 129775, 122643, +5.82%, 37.6, 97.4, 3434, 1326, 41°04′48″N 73°32′46″W, 
212, Concord, California, 129688, 122067, +6.24%, 30.5, 79.0, 4221, 1630, 37°58′20″N 122°00′06″W, 
213, Kent, Washington, 129618, 92411, +40.26%, 33.7, 87.3, 3784, 1461, 47°23′17″N 122°12′46″W, 
214, Santa Clara, California, 129488, 116468, +11.18%, 18.4, 47.7, 6845, 2643, 37°21′53″N 121°58′04″W, 
215, Elizabeth, New Jersey, 128885, 124969, +3.13%, 12.3, 31.9, 10459, 4038, 40°39′59″N 74°11′37″W, 
216, Round Rock, Texas, 128739, 99887, +28.88%, 35.6, 92.2, 3396, 1311, 30°31′31″N 97°39′58″W, 
217, Thousand Oaks, California, 127690, 126683, +0.79%, 55.2, 143.0, 2335, 902, 34°11′36″N 118°52′27″W, 
218, Lafayette, Louisiana, 126143, 120623, +4.58%, 53.8, 139.3, 2372, 916, 30°12′27″N 92°01′43″W, 
219, Athens, Georgia, 125964, 115452, +9.11%, 116.4, 301.5, 1060, 410, 33°56′59″N 83°22′12″W, 
220, Topeka, Kansas, 125904, 127473, −1.23%, 61.5, 159.3, 2062, 796, 39°02′05″N 95°41′46″W, 
221, Simi Valley, California, 125851, 124237, +1.30%, 41.5, 107.5, 3044, 1175, 34°16′01″N 118°44′55″W, 
222, Fargo, North Dakota, 124844, 105549, +18.28%, 49.3, 127.7, 2450, 950, 46°51′55″N 96°49′44″W, 
223, Norman, Oklahoma, 123471, 110925, +11.31%, 178.8, 463.1, 683, 264, 35°14′26″N 97°20′43″W, 
224, Columbia, Missouri, 123180, 108500, +13.53%, 65.0, 168.3, 1856, 717, 38°57′06″N 92°19′43″W, 
225, Abilene, Texas, 122999, 117063, +5.07%, 106.7, 276.4, 1146, 442, 32°27′16″N 99°44′17″W, 
226, Wilmington, North Carolina, 122607, 106476, +15.15%, 51.6, 133.6, 2278, 880, 34°12′33″N 77°53′09″W, 
227, Hartford, Connecticut, 122587, 124775, −1.75%, 17.4, 45.1, 7083, 2735, 41°45′57″N 72°40′54″W, 
228, Victorville, California, 122312, 115903, +5.53%, 73.3, 189.8, 1668, 644, 34°31′40″N 117°21′13″W, 
229, Pearland, Texas, 122149, 91252, +33.86%, 46.3, 119.9, 2453, 947, 29°33′21″N 95°19′23″W, 
230, Vallejo, California, 121913, 115942, +5.15%, 30.7, 79.5, 3951, 1525, 38°06′28″N 122°15′50″W, 
231, Ann Arbor, Michigan, 121890, 113934, +6.98%, 28.1, 72.8, 4298, 1659, 42°16′34″N 83°43′51″W, 
232, Berkeley, California, 121643, 112580, +8.05%, 10.5, 27.2, 11547, 4458, 37°52′01″N 122°17′57″W, 
233, Allentown, Pennsylvania, 121433, 118032, +2.88%, 17.5, 45.3, 6882, 2657, 40°35′37″N 75°28′42″W, 
234, Richardson, Texas, 120981, 99223, +21.93%, 28.6, 74.1, 3963, 1530, 32°58′20″N 96°42′29″W, 
235, Odessa, Texas, 120568, 99940, +20.64%, 45.2, 117.1, 2608, 1007, 31°53′02″N 102°20′28″W, 
236, Arvada, Colorado, 120492, 106433, +13.21%, 38.6, 100.0, 3043, 1175, 39°50′01″N 105°09′01″W, 
237, Cambridge, Massachusetts, 118977, 105162, +13.14%, 6.4, 16.6, 17289, 6675, 42°22′34″N 71°07′07″W, 
238, Sugar Land, Texas, 118600, 91252, +29.97%, 34.0, 88.1, 3488, 1347, 29°35′58″N 95°36′51″W, 
239, Beaumont, Texas, 118428, 118296, +0.11%, 82.1, 212.6, 1441, 556, 30°05′06″N 94°08′43″W, 
240, Lansing, Michigan, 118427, 114297, +3.61%, 39.1, 101.3, 2967, 1146, 42°42′51″N 84°33′33″W, 
241, Evansville, Indiana, 117963, 117429, +0.45%, 47.3, 122.5, 2526, 975, 37°59′16″N 87°32′05″W, 
242, Rochester, Minnesota, 116961, 106769, +9.55%, 54.6, 141.4, 2088, 806, 44°00′55″N 92°28′38″W, 
243, Independence, Missouri, 116925, 116830, +0.08%, 77.8, 201.5, 1504, 581, 39°05′08″N 94°21′08″W, 
244, Fairfield, California, 116884, 105321, +10.98%, 40.9, 105.9, 2806, 1083, 38°15′33″N 122°01′56″W, 
245, Provo, Utah, 116702, 112488, +3.75%, 41.7, 108.0, 2803, 1082, 40°14′43″N 111°38′41″W, 
246, Clearwater, Florida, 116478, 107685, +8.17%, 25.9, 67.1, 4415, 1705, 27°58′44″N 82°46′00″W, 
247, College Station, Texas, 116218, 93857, +23.82%, 51.0, 132.1, 2199, 849, 30°35′07″N 96°17′47″W, 
248, West Jordan, Utah, 116046, 103712, +11.89%, 32.3, 83.7, 3520, 1360, 40°36′09″N 112°00′03″W, 
249, Carlsbad, California, 115877, 105328, +10.02%, 37.7, 97.6, 3023, 1167, 33°07′26″N 117°16′58″W, 
250, El Monte, California, 115586, 113475, +1.86%, 9.6, 24.9, 12063, 4658, 34°04′29″N 118°01′45″W, 
251, Murrieta, California, 114985, 103466, +11.13%, 33.6, 87.0, 3324, 1283, 33°34′20″N 117°11′25″W, 
252, Temecula, California, 114742, 100097, +14.63%, 37.3, 96.6, 3031, 1170, 33°29′35″N 117°07′54″W, 
253, Springfield, Illinois, 114694, 116250, −1.34%, 60.1, 155.7, 1925, 743, 39°47′28″N 89°38′41″W, 
254, Palm Bay, Florida, 114194, 103190, +10.66%, 65.7, 170.2, 1676, 647, 27°59′08″N 80°39′45″W, 
255, Costa Mesa, California, 113615, 109960, +3.32%, 15.7, 40.7, 7186, 2775, 33°39′57″N 117°54′44″W, 
256, Westminster, Colorado, 113479, 106114, +6.94%, 31.7, 82.1, 3592, 1387, 39°52′56″N 105°03′52″W, 
257, North Charleston, South Carolina, 113237, 97471, +16.18%, 73.7, 190.9, 1483, 573, 32°55′04″N 80°03′54″W, 
258, Miami Gardens, Florida, 113069, 107167, +5.51%, 18.2, 47.1, 6212, 2398, 25°56′56″N 80°14′37″W, 
259, Manchester, New Hampshire, 112525, 109565, +2.70%, 33.1, 85.7, 3339, 1289, 42°59′06″N 71°26′39″W, 
260, High Point, North Carolina, 112316, 104371, +7.61%, 55.2, 143.0, 2015, 778, 35°59′24″N 79°59′26″W, 
261, Downey, California, 112269, 111772, +0.44%, 12.4, 32.1, 9134, 3527, 33°56′18″N 118°07′51″W, 
262, Clovis, California, 112022, 95631, +17.14%, 24.2, 62.7, 4404, 1700, 36°49′42″N 119°41′06″W, 
263, Pompano Beach, Florida, 111954, 99845, +12.13%, 24.0, 62.2, 4558, 1760, 26°14′30″N 80°08′02″W, 
264, Pueblo, Colorado, 111750, 106595, +4.84%, 53.6, 138.8, 2058, 795, 38°16′12″N 104°36′44″W, 
265, Elgin, Illinois, 111683, 108188, +3.23%, 37.4, 96.9, 2998, 1158, 42°02′23″N 88°19′18″W, 
266, Lowell, Massachusetts, 111670, 106519, +4.84%, 13.6, 35.2, 8129, 3139, 42°38′20″N 71°19′16″W, 
267, Antioch, California, 111535, 102372, +8.95%, 29.4, 76.1, 3772, 1456, 37°58′45″N 121°47′46″W, 
268, West Palm Beach, Florida, 111398, 99919, +11.49%, 55.1, 142.7, 1963, 758, 26°44′47″N 80°07′30″W, 
269, Peoria, Illinois, 111388, 115007, −3.15%, 48.2, 124.8, 2371, 915, 40°45′05″N 89°37′03″W, 
270, Everett, Washington, 111262, 103019, +8.00%, 33.3, 86.2, 3275, 1264, 47°57′24″N 122°11′29″W, 
271, Ventura[aa], California, 111128, 106433, +4.41%, 21.8, 56.5, 5027, 1941, 34°16′04″N 119°15′15″W, 
272, Centennial, Colorado, 110831, 100377, +10.41%, 29.5, 76.4, 3727, 1439, 39°35′26″N 104°52′09″W, 
273, Lakeland, Florida, 110516, 97422, +13.44%, 65.9, 170.7, 1615, 624, 28°03′20″N 81°57′18″W, 
274, Gresham, Oregon, 110158, 105594, +4.32%, 23.3, 60.3, 4786, 1848, 45°30′08″N 122°26′30″W, 
275, Richmond, California, 110146, 103701, +6.21%, 30.1, 78.0, 3648, 1409, 37°57′08″N 122°21′38″W, 
276, Billings, Montana, 109550, 104170, +5.16%, 43.7, 113.2, 2525, 975, 45°47′19″N 108°33′00″W, 
277, Inglewood, California, 109419, 109673, −0.23%, 9.1, 23.6, 12160, 4700, 33°57′22″N 118°20′39″W, 
278, Broken Arrow, Oklahoma, 109171, 98850, +10.44%, 61.7, 159.8, 1741, 672, 36°02′11″N 95°46′52″W, 
279, Sandy Springs, Georgia, 108797, 93853, +15.92%, 37.7, 97.6, 2804, 1083, 33°55′53″N 84°22′07″W, 
280, Jurupa Valley, California, 108393, 0, NA[ab], 42.9, 111.1, 2414, 932, 34°00′09″N 117°28′03″W, 
281, Hillsboro, Oregon, 108389, 91611, +18.31%, 25.0, 64.7, 4207, 1624, 45°31′41″N 122°56′09″W, 
282, Waterbury, Connecticut, 108093, 110366, −2.06%, 28.5, 73.8, 3799, 1467, 41°33′31″N 73°02′12″W, 
283, Santa Maria, California, 107408, 99553, +7.89%, 22.8, 59.1, 4662, 1800, 34°56′00″N 120°26′38″W, 
284, Boulder, Colorado, 107353, 97385, +10.24%, 24.8, 64.2, 4358, 1683, 40°01′37″N 105°15′07″W, 
285, Greeley, Colorado, 107348, 92889, +15.57%, 47.8, 123.8, 2176, 840, 40°24′55″N 104°46′11″W, 
286, Daly City, California, 107008, 101123, +5.82%, 7.6, 19.7, 14009, 5409, 37°42′03″N 122°27′54″W, 
287, Meridian, Idaho, 106804, 75092, +42.23%, 29.8, 77.2, 3584, 1384, 43°36′51″N 116°23′56″W, 
288, Lewisville, Texas, 106586, 95290, +11.85%, 36.7, 95.1, 2852, 1101, 33°02′48″N 96°58′54″W, 
289, Davie[ac], Florida, 106558, 91992, +15.83%, 34.9, 90.4, 2919, 1127, 26°04′45″N 80°17′06″W, 
290, West Covina, California, 106311, 106098, +0.20%, 16.0, 41.4, 6740, 2600, 34°03′21″N 117°54′36″W, 
291, League City, Texas, 106244, 83560, +27.15%, 51.2, 132.6, 1992, 769, 29°29′24″N 95°06′33″W, 
292, Tyler, Texas, 105729, 96900, +9.11%, 56.6, 146.6, 1852, 715, 32°19′02″N 95°18′21″W, 
293, Norwalk, California, 105120, 105549, −0.41%, 9.7, 25.1, 10946, 4226, 33°54′27″N 118°05′01″W, 
294, San Mateo, California, 105025, 97207, +8.04%, 12.1, 31.3, 8592, 3317, 37°33′37″N 122°18′38″W, 
295, Green Bay, Wisconsin, 104879, 104057, +0.79%, 45.4, 117.6, 2316, 894, 44°31′15″N 87°59′03″W, 
296, Wichita Falls, Texas, 104576, 104553, +0.02%, 72.2, 187.0, 1450, 560, 33°54′24″N 98°31′33″W, 
297, Sparks, Nevada, 104246, 90264, +15.49%, 35.9, 93.0, 2810, 1080, 39°33′16″N 119°44′08″W, 
298, Lakewood[ad], New Jersey, 104157, 92843, +12.19%, 24.7, 64.0, 4079, 1575, 40°04′38″N 74°12′01″W, 
299, Burbank, California, 103695, 103340, +0.34%, 17.4, 45.1, 6003, 2318, 34°11′24″N 118°19′35″W, 
300, Rialto, California, 103440, 99171, +4.30%, 22.3, 57.8, 4633, 1789, 34°06′42″N 117°23′18″W, 
301, Allen, Texas, 103383, 84246, +22.72%, 27.1, 70.2, 3715, 1434, 33°05′59″N 96°39′47″W, 
302, El Cajon, California, 103241, 99478, +3.78%, 14.5, 37.6, 7156, 2763, 32°48′06″N 116°57′37″W, 
303, Las Cruces, New Mexico, 102926, 97618, +5.44%, 76.9, 199.2, 1323, 511, 32°19′35″N 106°47′23″W, 
304, Renton, Washington, 102153, 90927, +12.35%, 23.4, 60.6, 4314, 1666, 47°28′34″N 122°11′31″W, 
305, Davenport, Iowa, 102085, 99685, +2.41%, 62.9, 162.9, 1631, 630, 41°33′15″N 90°36′14″W, 
306, South Bend, Indiana, 101860, 101168, +0.68%, 41.4, 107.2, 2457, 949, 41°40′37″N 86°16′08″W, 
307, Vista, California, 101224, 93834, +7.88%, 18.7, 48.4, 5436, 2099, 33°11′22″N 117°14′19″W, 
308, Tuscaloosa, Alabama, 101113, 90468, +11.77%, 71.7, 185.7, 1399, 540, 33°12′23″N 87°32′05″W, 
309, Clinton[ae], Michigan, 100800, 96796, +4.14%, 28.1, 72.8, 3573, 1380, 42°35′25″N 82°55′01″W, 
310, Edison[ad], New Jersey, 100693, 99967, +0.73%, 30.1, 78.0, 3389, 1309, 40°30′14″N 74°20′58″W, 
311, Woodbridge[ad], New Jersey, 100450, 99585, +0.87%, 23.3, 60.3, 4351, 1680, 40°33′39″N 74°17′34″W, 
312, San Angelo, Texas, 100215, 93200, +7.53%, 59.9, 155.1, 1681, 649, 31°26′28″N 100°27′02″W, 
313, Kenosha, Wisconsin, 100164, 99218, +0.95%, 28.0, 72.5, 3577, 1381, 42°34′56″N 87°50′44″W, 
314, Vacaville, California, 100154, 92428, +8.36%, 29.0, 75.1, 3449, 1332, 38°21′14″N 121°58′22″W, 
,, 